Region,Sub-region,Country,ISO3 code,M49 code,RE or Non-RE,Group Technology,Technology,Sub-Technology,Producer Type,Year,Electricity Generation (GWh),Electricity Installed Capacity (MW),Heat Generation (TJ),Public Flows (2021 USD M),SDG 7a1 Intl. Public Flows (2021 USD M),SDG 7b1 RE capacity per capita (W/inhabitant)
Asia,Eastern Asia,China,CHN,156,Total Non-Renewable,Fossil fuels,Coal and peat,Coal and peat,Heat (Commercial),2021,,,4945567.196,,,
Asia,Eastern Asia,China,CHN,156,Total Non-Renewable,Fossil fuels,Coal and peat,Coal and peat,Heat (Commercial),2022,,,5040913.892,,,
Asia,Eastern Asia,China,CHN,156,Total Non-Renewable,Fossil fuels,Coal and peat,Coal and peat,On-grid electricity,2000,1070773.0,218614.0,,,,
Asia,Eastern Asia,China,CHN,156,Total Non-Renewable,Fossil fuels,Coal and peat,Coal and peat,On-grid electricity,2001,1137315.0,232392.0,,,,
Asia,Eastern Asia,China,CHN,156,Total Non-Renewable,Fossil fuels,Coal and peat,Coal and peat,On-grid electricity,2002,1285996.0,244333.0,,,,
Asia,Eastern Asia,China,CHN,156,Total Non-Renewable,Fossil fuels,Coal and peat,Coal and peat,On-grid electricity,2003,1518777.0,266378.0,,,,
Asia,Eastern Asia,China,CHN,156,Total Non-Renewable,Fossil fuels,Coal and peat,Coal and peat,On-grid electricity,2004,1725620.0,302201.0,,,,
Asia,Eastern Asia,China,CHN,156,Total Non-Renewable,Fossil fuels,Coal and peat,Coal and peat,On-grid electricity,2005,1967560.0,359151.0,,,,
Asia,Eastern Asia,China,CHN,156,Total Non-Renewable,Fossil fuels,Coal and peat,Coal and peat,On-grid electricity,2006,2277262.0,444576.0,,,,
Asia,Eastern Asia,China,CHN,156,Total Non-Renewable,Fossil fuels,Coal and peat,Coal and peat,On-grid electricity,2007,2616823.0,509793.0,,,,
Asia,Eastern Asia,China,CHN,156,Total Non-Renewable,Fossil fuels,Coal and peat,Coal and peat,On-grid electricity,2008,2681356.0,552046.0,,,,
Asia,Eastern Asia,China,CHN,156,Total Non-Renewable,Fossil fuels,Coal and peat,Coal and peat,On-grid electricity,2009,2866547.0,598892.0,,,,
Asia,Eastern Asia,China,CHN,156,Total Non-Renewable,Fossil fuels,Coal and peat,Coal and peat,On-grid electricity,2010,3252369.0,654974.0,,,,
Asia,Eastern Asia,China,CHN,156,Total Non-Renewable,Fossil fuels,Coal and peat,Coal and peat,On-grid electricity,2011,3696144.0,709284.0,,,,
Asia,Eastern Asia,China,CHN,156,Total Non-Renewable,Fossil fuels,Coal and peat,Coal and peat,On-grid electricity,2012,3713064.0,754882.0,,,,
Asia,Eastern Asia,China,CHN,156,Total Non-Renewable,Fossil fuels,Coal and peat,Coal and peat,On-grid electricity,2013,3980520.0,795784.0,,,,
Asia,Eastern Asia,China,CHN,156,Total Non-Renewable,Fossil fuels,Coal and peat,Coal and peat,On-grid electricity,2014,4026589.0,841023.0,,,,
Asia,Eastern Asia,China,CHN,156,Total Non-Renewable,Fossil fuels,Coal and peat,Coal and peat,On-grid electricity,2015,3897746.0,900093.0,,,,
Asia,Eastern Asia,China,CHN,156,Total Non-Renewable,Fossil fuels,Coal and peat,Coal and peat,On-grid electricity,2016,3945678.0,946244.0,,,,
Asia,Eastern Asia,China,CHN,156,Total Non-Renewable,Fossil fuels,Coal and peat,Coal and peat,On-grid electricity,2017,4149763.0,985620.0,,,,
Asia,Eastern Asia,China,CHN,156,Total Non-Renewable,Fossil fuels,Coal and peat,Coal and peat,On-grid electricity,2018,4482900.0,1008350.0,,,,
Asia,Eastern Asia,China,CHN,156,Total Non-Renewable,Fossil fuels,Coal and peat,Coal and peat,On-grid electricity,2019,4553800.0,1040630.0,,,,
Asia,Eastern Asia,China,CHN,156,Total Non-Renewable,Fossil fuels,Coal and peat,Coal and peat,On-grid electricity,2020,4589600.0,1084319.0,,,,
Asia,Eastern Asia,China,CHN,156,Total Non-Renewable,Fossil fuels,Coal and peat,Coal and peat,On-grid electricity,2021,5035200.0,1123286.0,,,,
Asia,Eastern Asia,China,CHN,156,Total Non-Renewable,Fossil fuels,Coal and peat,Coal and peat,On-grid electricity,2022,5220700.0,1155325.0,,,,
Asia,Eastern Asia,China,CHN,156,Total Non-Renewable,Fossil fuels,Coal and peat,Coal and peat,On-grid electricity,2023,,1200427.0,,,,
Asia,Eastern Asia,China,CHN,156,Total Non-Renewable,Fossil fuels,Fossil fuels n.e.s.,Fossil fuels n.e.s.,All types,2000,,,,10.56212296,,
Asia,Eastern Asia,China,CHN,156,Total Non-Renewable,Fossil fuels,Fossil fuels n.e.s.,Fossil fuels n.e.s.,All types,2001,,,,61.00793121,,
Asia,Eastern Asia,China,CHN,156,Total Non-Renewable,Fossil fuels,Fossil fuels n.e.s.,Fossil fuels n.e.s.,All types,2002,,,,88.28618807,,
Asia,Eastern Asia,China,CHN,156,Total Non-Renewable,Fossil fuels,Fossil fuels n.e.s.,Fossil fuels n.e.s.,All types,2003,,,,319.3425419,,
Asia,Eastern Asia,China,CHN,156,Total Non-Renewable,Fossil fuels,Fossil fuels n.e.s.,Fossil fuels n.e.s.,All types,2004,,,,23.75918345,,
Asia,Eastern Asia,China,CHN,156,Total Non-Renewable,Fossil fuels,Fossil fuels n.e.s.,Fossil fuels n.e.s.,All types,2005,,,,8.814695034,,
Asia,Eastern Asia,China,CHN,156,Total Non-Renewable,Fossil fuels,Fossil fuels n.e.s.,Fossil fuels n.e.s.,All types,2006,,,,9.46378128,,
Asia,Eastern Asia,China,CHN,156,Total Non-Renewable,Fossil fuels,Fossil fuels n.e.s.,Fossil fuels n.e.s.,All types,2007,,,,1.048585113,,
Asia,Eastern Asia,China,CHN,156,Total Non-Renewable,Fossil fuels,Fossil fuels n.e.s.,Fossil fuels n.e.s.,All types,2008,,,,244.8201054,,
Asia,Eastern Asia,China,CHN,156,Total Non-Renewable,Fossil fuels,Fossil fuels n.e.s.,Fossil fuels n.e.s.,All types,2009,,,,3.885425035,,
Asia,Eastern Asia,China,CHN,156,Total Non-Renewable,Fossil fuels,Fossil fuels n.e.s.,Fossil fuels n.e.s.,All types,2010,,,,0.130193128,,
Asia,Eastern Asia,China,CHN,156,Total Non-Renewable,Fossil fuels,Fossil fuels n.e.s.,Fossil fuels n.e.s.,All types,2011,,,,0.732741116,,
Asia,Eastern Asia,China,CHN,156,Total Non-Renewable,Fossil fuels,Fossil fuels n.e.s.,Fossil fuels n.e.s.,All types,2012,,,,3.332285725,,
Asia,Eastern Asia,China,CHN,156,Total Non-Renewable,Fossil fuels,Fossil fuels n.e.s.,Fossil fuels n.e.s.,All types,2013,,,,152.3719155,,
Asia,Eastern Asia,China,CHN,156,Total Non-Renewable,Fossil fuels,Fossil fuels n.e.s.,Fossil fuels n.e.s.,All types,2014,,,,137.4015064,,
Asia,Eastern Asia,China,CHN,156,Total Non-Renewable,Fossil fuels,Fossil fuels n.e.s.,Fossil fuels n.e.s.,All types,2015,,,,0.033481921,,
Asia,Eastern Asia,China,CHN,156,Total Non-Renewable,Fossil fuels,Fossil fuels n.e.s.,Fossil fuels n.e.s.,All types,2016,,,,0.362745582,,
Asia,Eastern Asia,China,CHN,156,Total Non-Renewable,Fossil fuels,Fossil fuels n.e.s.,Fossil fuels n.e.s.,All types,2017,,,,0.07595055,,
Asia,Eastern Asia,China,CHN,156,Total Non-Renewable,Fossil fuels,Fossil fuels n.e.s.,Fossil fuels n.e.s.,All types,2018,,,,102.7226727,,
Asia,Eastern Asia,China,CHN,156,Total Non-Renewable,Fossil fuels,Fossil fuels n.e.s.,Fossil fuels n.e.s.,All types,2019,,,,43.39721721,,
Asia,Eastern Asia,China,CHN,156,Total Non-Renewable,Fossil fuels,Fossil fuels n.e.s.,Fossil fuels n.e.s.,All types,2020,,,,2.018413537,,
Asia,Eastern Asia,China,CHN,156,Total Non-Renewable,Fossil fuels,Fossil fuels n.e.s.,Fossil fuels n.e.s.,Heat (Commercial),2010,,,22084.0,,,
Asia,Eastern Asia,China,CHN,156,Total Non-Renewable,Fossil fuels,Fossil fuels n.e.s.,Fossil fuels n.e.s.,Heat (Commercial),2011,,,25819.0,,,
Asia,Eastern Asia,China,CHN,156,Total Non-Renewable,Fossil fuels,Fossil fuels n.e.s.,Fossil fuels n.e.s.,Heat (Commercial),2012,,,32254.0,,,
Asia,Eastern Asia,China,CHN,156,Total Non-Renewable,Fossil fuels,Fossil fuels n.e.s.,Fossil fuels n.e.s.,Heat (Commercial),2013,,,34577.0,,,
Asia,Eastern Asia,China,CHN,156,Total Non-Renewable,Fossil fuels,Fossil fuels n.e.s.,Fossil fuels n.e.s.,Heat (Commercial),2014,,,37683.022,,,
Asia,Eastern Asia,China,CHN,156,Total Non-Renewable,Fossil fuels,Fossil fuels n.e.s.,Fossil fuels n.e.s.,Heat (Commercial),2015,,,39208.324,,,
Asia,Eastern Asia,China,CHN,156,Total Non-Renewable,Fossil fuels,Fossil fuels n.e.s.,Fossil fuels n.e.s.,Heat (Commercial),2016,,,40505.642,,,
Asia,Eastern Asia,China,CHN,156,Total Non-Renewable,Fossil fuels,Fossil fuels n.e.s.,Fossil fuels n.e.s.,Heat (Commercial),2017,,,52878.848,,,
Asia,Eastern Asia,China,CHN,156,Total Non-Renewable,Fossil fuels,Fossil fuels n.e.s.,Fossil fuels n.e.s.,Heat (Commercial),2018,,,47521.973,,,
Asia,Eastern Asia,China,CHN,156,Total Non-Renewable,Fossil fuels,Fossil fuels n.e.s.,Fossil fuels n.e.s.,Heat (Commercial),2019,,,46168.881,,,
Asia,Eastern Asia,China,CHN,156,Total Non-Renewable,Fossil fuels,Fossil fuels n.e.s.,Fossil fuels n.e.s.,Heat (Commercial),2020,,,47457.199,,,
Asia,Eastern Asia,China,CHN,156,Total Non-Renewable,Fossil fuels,Fossil fuels n.e.s.,Fossil fuels n.e.s.,Heat (Commercial),2021,,,50459.045,,,
Asia,Eastern Asia,China,CHN,156,Total Non-Renewable,Fossil fuels,Fossil fuels n.e.s.,Fossil fuels n.e.s.,Heat (Commercial),2022,,,51431.856,,,
Asia,Eastern Asia,China,CHN,156,Total Non-Renewable,Fossil fuels,Fossil fuels n.e.s.,Fossil fuels n.e.s.,On-grid electricity,2000,16668.6,6511.0,,,,
Asia,Eastern Asia,China,CHN,156,Total Non-Renewable,Fossil fuels,Fossil fuels n.e.s.,Fossil fuels n.e.s.,On-grid electricity,2001,17818.6,6971.0,,,,
Asia,Eastern Asia,China,CHN,156,Total Non-Renewable,Fossil fuels,Fossil fuels n.e.s.,Fossil fuels n.e.s.,On-grid electricity,2002,20429.6,6855.0,,,,
Asia,Eastern Asia,China,CHN,156,Total Non-Renewable,Fossil fuels,Fossil fuels n.e.s.,Fossil fuels n.e.s.,On-grid electricity,2003,24526.6,7424.0,,,,
Asia,Eastern Asia,China,CHN,156,Total Non-Renewable,Fossil fuels,Fossil fuels n.e.s.,Fossil fuels n.e.s.,On-grid electricity,2004,28140.9,8622.0,,,,
Asia,Eastern Asia,China,CHN,156,Total Non-Renewable,Fossil fuels,Fossil fuels n.e.s.,Fossil fuels n.e.s.,On-grid electricity,2005,28118.0,10504.0,,,,
Asia,Eastern Asia,China,CHN,156,Total Non-Renewable,Fossil fuels,Fossil fuels n.e.s.,Fossil fuels n.e.s.,On-grid electricity,2006,32878.0,12977.0,,,,
Asia,Eastern Asia,China,CHN,156,Total Non-Renewable,Fossil fuels,Fossil fuels n.e.s.,Fossil fuels n.e.s.,On-grid electricity,2007,38521.4,14747.0,,,,
Asia,Eastern Asia,China,CHN,156,Total Non-Renewable,Fossil fuels,Fossil fuels n.e.s.,Fossil fuels n.e.s.,On-grid electricity,2008,40872.0,15948.0,,,,
Asia,Eastern Asia,China,CHN,156,Total Non-Renewable,Fossil fuels,Fossil fuels n.e.s.,Fossil fuels n.e.s.,On-grid electricity,2009,47216.6,16248.0,,,,
Asia,Eastern Asia,China,CHN,156,Total Non-Renewable,Fossil fuels,Fossil fuels n.e.s.,Fossil fuels n.e.s.,On-grid electricity,2010,20410.1,12242.36,,,,
Asia,Eastern Asia,China,CHN,156,Total Non-Renewable,Fossil fuels,Fossil fuels n.e.s.,Fossil fuels n.e.s.,On-grid electricity,2011,15985.599,16689.082,,,,
Asia,Eastern Asia,China,CHN,156,Total Non-Renewable,Fossil fuels,Fossil fuels n.e.s.,Fossil fuels n.e.s.,On-grid electricity,2012,52149.0,15256.19,,,,
Asia,Eastern Asia,China,CHN,156,Total Non-Renewable,Fossil fuels,Fossil fuels n.e.s.,Fossil fuels n.e.s.,On-grid electricity,2013,113770.001,17841.92,,,,
Asia,Eastern Asia,China,CHN,156,Total Non-Renewable,Fossil fuels,Fossil fuels n.e.s.,Fossil fuels n.e.s.,On-grid electricity,2014,60609.249,6535.007,,,,
Asia,Eastern Asia,China,CHN,156,Total Non-Renewable,Fossil fuels,Fossil fuels n.e.s.,Fossil fuels n.e.s.,On-grid electricity,2015,166746.371,9423.613,,,,
Asia,Eastern Asia,China,CHN,156,Total Non-Renewable,Fossil fuels,Fossil fuels n.e.s.,Fossil fuels n.e.s.,On-grid electricity,2016,224889.446,11157.514,,,,
Asia,Eastern Asia,China,CHN,156,Total Non-Renewable,Fossil fuels,Fossil fuels n.e.s.,Fossil fuels n.e.s.,On-grid electricity,2017,301359.197,9386.0,,,,
Asia,Eastern Asia,China,CHN,156,Total Non-Renewable,Fossil fuels,Fossil fuels n.e.s.,Fossil fuels n.e.s.,On-grid electricity,2018,305849.36,32440.0,,,,
Asia,Eastern Asia,China,CHN,156,Total Non-Renewable,Fossil fuels,Fossil fuels n.e.s.,Fossil fuels n.e.s.,On-grid electricity,2019,320245.54,34404.147,,,,
Asia,Eastern Asia,China,CHN,156,Total Non-Renewable,Fossil fuels,Fossil fuels n.e.s.,Fossil fuels n.e.s.,On-grid electricity,2020,364080.0,35849.0,,,,
Asia,Eastern Asia,China,CHN,156,Total Non-Renewable,Fossil fuels,Fossil fuels n.e.s.,Fossil fuels n.e.s.,On-grid electricity,2021,353280.0,37137.0,,,,
Asia,Eastern Asia,China,CHN,156,Total Non-Renewable,Fossil fuels,Fossil fuels n.e.s.,Fossil fuels n.e.s.,On-grid electricity,2022,225650.0,38196.0,,,,
Asia,Eastern Asia,China,CHN,156,Total Non-Renewable,Fossil fuels,Fossil fuels n.e.s.,Fossil fuels n.e.s.,On-grid electricity,2023,,39687.0,,,,
Asia,Eastern Asia,China,CHN,156,Total Non-Renewable,Fossil fuels,Natural gas,Natural gas,All types,2007,,,,1.600435499,,
Asia,Eastern Asia,China,CHN,156,Total Non-Renewable,Fossil fuels,Natural gas,Natural gas,All types,2010,,,,145.4552791,,
Asia,Eastern Asia,China,CHN,156,Total Non-Renewable,Fossil fuels,Natural gas,Natural gas,All types,2017,,,,0.697842674,,
Asia,Eastern Asia,China,CHN,156,Total Non-Renewable,Fossil fuels,Natural gas,Natural gas,Heat (Commercial),2000,,,44936.0,,,
Asia,Eastern Asia,China,CHN,156,Total Non-Renewable,Fossil fuels,Natural gas,Natural gas,Heat (Commercial),2001,,,51748.0,,,
Asia,Eastern Asia,China,CHN,156,Total Non-Renewable,Fossil fuels,Natural gas,Natural gas,Heat (Commercial),2002,,,53671.0,,,
Asia,Eastern Asia,China,CHN,156,Total Non-Renewable,Fossil fuels,Natural gas,Natural gas,Heat (Commercial),2003,,,44147.0,,,
Asia,Eastern Asia,China,CHN,156,Total Non-Renewable,Fossil fuels,Natural gas,Natural gas,Heat (Commercial),2004,,,64235.0,,,
Asia,Eastern Asia,China,CHN,156,Total Non-Renewable,Fossil fuels,Natural gas,Natural gas,Heat (Commercial),2005,,,73064.0,,,
Asia,Eastern Asia,China,CHN,156,Total Non-Renewable,Fossil fuels,Natural gas,Natural gas,Heat (Commercial),2006,,,67219.0,,,
Asia,Eastern Asia,China,CHN,156,Total Non-Renewable,Fossil fuels,Natural gas,Natural gas,Heat (Commercial),2007,,,62532.0,,,
Asia,Eastern Asia,China,CHN,156,Total Non-Renewable,Fossil fuels,Natural gas,Natural gas,Heat (Commercial),2008,,,67483.0,,,
Asia,Eastern Asia,China,CHN,156,Total Non-Renewable,Fossil fuels,Natural gas,Natural gas,Heat (Commercial),2009,,,81043.0,,,
Asia,Eastern Asia,China,CHN,156,Total Non-Renewable,Fossil fuels,Natural gas,Natural gas,Heat (Commercial),2010,,,91566.0,,,
Asia,Eastern Asia,China,CHN,156,Total Non-Renewable,Fossil fuels,Natural gas,Natural gas,Heat (Commercial),2011,,,91989.0,,,
Asia,Eastern Asia,China,CHN,156,Total Non-Renewable,Fossil fuels,Natural gas,Natural gas,Heat (Commercial),2012,,,107796.0,,,
Asia,Eastern Asia,China,CHN,156,Total Non-Renewable,Fossil fuels,Natural gas,Natural gas,Heat (Commercial),2013,,,124113.0,,,
Asia,Eastern Asia,China,CHN,156,Total Non-Renewable,Fossil fuels,Natural gas,Natural gas,Heat (Commercial),2014,,,135261.965,,,
Asia,Eastern Asia,China,CHN,156,Total Non-Renewable,Fossil fuels,Natural gas,Natural gas,Heat (Commercial),2015,,,140736.985,,,
Asia,Eastern Asia,China,CHN,156,Total Non-Renewable,Fossil fuels,Natural gas,Natural gas,Heat (Commercial),2016,,,145393.664,,,
Asia,Eastern Asia,China,CHN,156,Total Non-Renewable,Fossil fuels,Natural gas,Natural gas,Heat (Commercial),2017,,,189806.879,,,
Asia,Eastern Asia,China,CHN,156,Total Non-Renewable,Fossil fuels,Natural gas,Natural gas,Heat (Commercial),2018,,,170578.552,,,
Asia,Eastern Asia,China,CHN,156,Total Non-Renewable,Fossil fuels,Natural gas,Natural gas,Heat (Commercial),2019,,,165721.676,,,
Asia,Eastern Asia,China,CHN,156,Total Non-Renewable,Fossil fuels,Natural gas,Natural gas,Heat (Commercial),2020,,,170346.049,,,
Asia,Eastern Asia,China,CHN,156,Total Non-Renewable,Fossil fuels,Natural gas,Natural gas,Heat (Commercial),2021,,,181121.075,,,
Asia,Eastern Asia,China,CHN,156,Total Non-Renewable,Fossil fuels,Natural gas,Natural gas,Heat (Commercial),2022,,,184612.949,,,
Asia,Eastern Asia,China,CHN,156,Total Non-Renewable,Fossil fuels,Natural gas,Natural gas,On-grid electricity,2000,19487.0,8771.0,,,,
Asia,Eastern Asia,China,CHN,156,Total Non-Renewable,Fossil fuels,Natural gas,Natural gas,On-grid electricity,2001,20698.0,9324.0,,,,
Asia,Eastern Asia,China,CHN,156,Total Non-Renewable,Fossil fuels,Natural gas,Natural gas,On-grid electricity,2002,23404.0,9803.0,,,,
Asia,Eastern Asia,China,CHN,156,Total Non-Renewable,Fossil fuels,Natural gas,Natural gas,On-grid electricity,2003,27641.0,10688.0,,,,
Asia,Eastern Asia,China,CHN,156,Total Non-Renewable,Fossil fuels,Natural gas,Natural gas,On-grid electricity,2004,31406.0,12125.0,,,,
Asia,Eastern Asia,China,CHN,156,Total Non-Renewable,Fossil fuels,Natural gas,Natural gas,On-grid electricity,2005,35809.0,14410.0,,,,
Asia,Eastern Asia,China,CHN,156,Total Non-Renewable,Fossil fuels,Natural gas,Natural gas,On-grid electricity,2006,41446.0,17838.0,,,,
Asia,Eastern Asia,China,CHN,156,Total Non-Renewable,Fossil fuels,Natural gas,Natural gas,On-grid electricity,2007,47626.0,20455.0,,,,
Asia,Eastern Asia,China,CHN,156,Total Non-Renewable,Fossil fuels,Natural gas,Natural gas,On-grid electricity,2008,48800.0,22150.0,,,,
Asia,Eastern Asia,China,CHN,156,Total Non-Renewable,Fossil fuels,Natural gas,Natural gas,On-grid electricity,2009,52170.0,24030.0,,,,
Asia,Eastern Asia,China,CHN,156,Total Non-Renewable,Fossil fuels,Natural gas,Natural gas,On-grid electricity,2010,47727.0,26440.0,,,,
Asia,Eastern Asia,China,CHN,156,Total Non-Renewable,Fossil fuels,Natural gas,Natural gas,On-grid electricity,2011,108800.0,34150.0,,,,
Asia,Eastern Asia,China,CHN,156,Total Non-Renewable,Fossil fuels,Natural gas,Natural gas,On-grid electricity,2012,110252.0,37675.0,,,,
Asia,Eastern Asia,China,CHN,156,Total Non-Renewable,Fossil fuels,Natural gas,Natural gas,On-grid electricity,2013,116388.0,42773.0,,,,
Asia,Eastern Asia,China,CHN,156,Total Non-Renewable,Fossil fuels,Natural gas,Natural gas,On-grid electricity,2014,133283.0,56970.0,,,,
Asia,Eastern Asia,China,CHN,156,Total Non-Renewable,Fossil fuels,Natural gas,Natural gas,On-grid electricity,2015,166907.0,66033.0,,,,
Asia,Eastern Asia,China,CHN,156,Total Non-Renewable,Fossil fuels,Natural gas,Natural gas,On-grid electricity,2016,188280.0,70105.0,,,,
Asia,Eastern Asia,China,CHN,156,Total Non-Renewable,Fossil fuels,Natural gas,Natural gas,On-grid electricity,2017,202760.0,75800.0,,,,
Asia,Eastern Asia,China,CHN,156,Total Non-Renewable,Fossil fuels,Natural gas,Natural gas,On-grid electricity,2018,215500.0,83750.0,,,,
Asia,Eastern Asia,China,CHN,156,Total Non-Renewable,Fossil fuels,Natural gas,Natural gas,On-grid electricity,2019,232500.0,90240.0,,,,
Asia,Eastern Asia,China,CHN,156,Total Non-Renewable,Fossil fuels,Natural gas,Natural gas,On-grid electricity,2020,242300.0,94029.0,,,,
Asia,Eastern Asia,China,CHN,156,Total Non-Renewable,Fossil fuels,Natural gas,Natural gas,On-grid electricity,2021,251000.0,97408.0,,,,
Asia,Eastern Asia,China,CHN,156,Total Non-Renewable,Fossil fuels,Natural gas,Natural gas,On-grid electricity,2022,258200.0,100186.0,,,,
Asia,Eastern Asia,China,CHN,156,Total Non-Renewable,Fossil fuels,Natural gas,Natural gas,On-grid electricity,2023,,104097.0,,,,
Asia,Eastern Asia,China,CHN,156,Total Non-Renewable,Fossil fuels,Oil,Oil,Heat (Commercial),2000,,,148505.0,,,
Asia,Eastern Asia,China,CHN,156,Total Non-Renewable,Fossil fuels,Oil,Oil,Heat (Commercial),2001,,,150145.0,,,
Asia,Eastern Asia,China,CHN,156,Total Non-Renewable,Fossil fuels,Oil,Oil,Heat (Commercial),2002,,,143782.0,,,
Asia,Eastern Asia,China,CHN,156,Total Non-Renewable,Fossil fuels,Oil,Oil,Heat (Commercial),2003,,,143743.0,,,
Asia,Eastern Asia,China,CHN,156,Total Non-Renewable,Fossil fuels,Oil,Oil,Heat (Commercial),2004,,,128964.0,,,
Asia,Eastern Asia,China,CHN,156,Total Non-Renewable,Fossil fuels,Oil,Oil,Heat (Commercial),2005,,,95187.0,,,
Asia,Eastern Asia,China,CHN,156,Total Non-Renewable,Fossil fuels,Oil,Oil,Heat (Commercial),2006,,,109782.0,,,
Asia,Eastern Asia,China,CHN,156,Total Non-Renewable,Fossil fuels,Oil,Oil,Heat (Commercial),2007,,,98358.0,,,
Asia,Eastern Asia,China,CHN,156,Total Non-Renewable,Fossil fuels,Oil,Oil,Heat (Commercial),2008,,,117586.0,,,
Asia,Eastern Asia,China,CHN,156,Total Non-Renewable,Fossil fuels,Oil,Oil,Heat (Commercial),2009,,,112102.0,,,
