Region,Sub-region,Country,ISO3 code,M49 code,RE or Non-RE,Group Technology,Technology,Sub-Technology,Producer Type,Year,Electricity Generation (GWh),Electricity Installed Capacity (MW),Heat Generation (TJ),"Off-grid Biogas for Cooking (1,000 inhabitants)","Off-grid Biogas Production (1,000 m3)","Off-grid Electricity Access (1,000 inhabitants)",Public Flows (2021 USD M),SDG 7a1 Intl. Public Flows (2021 USD M),SDG 7b1 RE capacity per capita (W/inhabitant)
Oceania,Australia and New Zealand,Australia,AUS,36,Total Non-Renewable,Fossil fuels,Fossil fuels n.e.s.,Fossil fuels n.e.s.,On-grid electricity,2020,0.0,602.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Oceania,Australia and New Zealand,Australia,AUS,36,Total Non-Renewable,Fossil fuels,Fossil fuels n.e.s.,Fossil fuels n.e.s.,On-grid electricity,2021,0.0,602.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Oceania,Australia and New Zealand,Australia,AUS,36,Total Non-Renewable,Fossil fuels,Fossil fuels n.e.s.,Fossil fuels n.e.s.,On-grid electricity,2022,0.0,602.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Oceania,Australia and New Zealand,Australia,AUS,36,Total Non-Renewable,Fossil fuels,Fossil fuels n.e.s.,Fossil fuels n.e.s.,On-grid electricity,2023,0.0,602.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Oceania,Australia and New Zealand,Australia,AUS,36,Total Non-Renewable,Fossil fuels,Natural gas,Natural gas,On-grid electricity,2000,16245.0,5497.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Oceania,Australia and New Zealand,Australia,AUS,36,Total Non-Renewable,Fossil fuels,Natural gas,Natural gas,On-grid electricity,2001,17271.0,5846.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Oceania,Australia and New Zealand,Australia,AUS,36,Total Non-Renewable,Fossil fuels,Natural gas,Natural gas,On-grid electricity,2002,31730.0,8304.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Oceania,Australia and New Zealand,Australia,AUS,36,Total Non-Renewable,Fossil fuels,Natural gas,Natural gas,On-grid electricity,2003,29376.0,8538.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Oceania,Australia and New Zealand,Australia,AUS,36,Total Non-Renewable,Fossil fuels,Natural gas,Natural gas,On-grid electricity,2004,30919.0,8748.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Oceania,Australia and New Zealand,Australia,AUS,36,Total Non-Renewable,Fossil fuels,Natural gas,Natural gas,On-grid electricity,2005,23803.0,8377.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Oceania,Australia and New Zealand,Australia,AUS,36,Total Non-Renewable,Fossil fuels,Natural gas,Natural gas,On-grid electricity,2006,22726.0,8951.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Oceania,Australia and New Zealand,Australia,AUS,36,Total Non-Renewable,Fossil fuels,Natural gas,Natural gas,On-grid electricity,2007,31849.0,11227.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Oceania,Australia and New Zealand,Australia,AUS,36,Total Non-Renewable,Fossil fuels,Natural gas,Natural gas,On-grid electricity,2008,34955.0,11710.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Oceania,Australia and New Zealand,Australia,AUS,36,Total Non-Renewable,Fossil fuels,Natural gas,Natural gas,On-grid electricity,2009,40072.0,13805.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Oceania,Australia and New Zealand,Australia,AUS,36,Total Non-Renewable,Fossil fuels,Natural gas,Natural gas,On-grid electricity,2010,44585.0,15863.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Oceania,Australia and New Zealand,Australia,AUS,36,Total Non-Renewable,Fossil fuels,Natural gas,Natural gas,On-grid electricity,2011,48997.0,16372.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Oceania,Australia and New Zealand,Australia,AUS,36,Total Non-Renewable,Fossil fuels,Natural gas,Natural gas,On-grid electricity,2012,48572.0,16949.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Oceania,Australia and New Zealand,Australia,AUS,36,Total Non-Renewable,Fossil fuels,Natural gas,Natural gas,On-grid electricity,2013,51054.0,17272.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Oceania,Australia and New Zealand,Australia,AUS,36,Total Non-Renewable,Fossil fuels,Natural gas,Natural gas,On-grid electricity,2014,54394.0,17797.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Oceania,Australia and New Zealand,Australia,AUS,36,Total Non-Renewable,Fossil fuels,Natural gas,Natural gas,On-grid electricity,2015,52462.0,22573.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Oceania,Australia and New Zealand,Australia,AUS,36,Total Non-Renewable,Fossil fuels,Natural gas,Natural gas,On-grid electricity,2016,50410.0,22500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Oceania,Australia and New Zealand,Australia,AUS,36,Total Non-Renewable,Fossil fuels,Natural gas,Natural gas,On-grid electricity,2017,50460.0,22127.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Oceania,Australia and New Zealand,Australia,AUS,36,Total Non-Renewable,Fossil fuels,Natural gas,Natural gas,On-grid electricity,2018,53817.0,22846.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Oceania,Australia and New Zealand,Australia,AUS,36,Total Non-Renewable,Fossil fuels,Natural gas,Natural gas,On-grid electricity,2019,52775.0,22722.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Oceania,Australia and New Zealand,Australia,AUS,36,Total Non-Renewable,Fossil fuels,Natural gas,Natural gas,On-grid electricity,2020,55216.0,24060.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Oceania,Australia and New Zealand,Australia,AUS,36,Total Non-Renewable,Fossil fuels,Natural gas,Natural gas,On-grid electricity,2021,49783.0,24330.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Oceania,Australia and New Zealand,Australia,AUS,36,Total Non-Renewable,Fossil fuels,Natural gas,Natural gas,On-grid electricity,2022,49280.0,25014.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Oceania,Australia and New Zealand,Australia,AUS,36,Total Non-Renewable,Fossil fuels,Natural gas,Natural gas,On-grid electricity,2023,0.0,25074.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Oceania,Australia and New Zealand,Australia,AUS,36,Total Non-Renewable,Fossil fuels,Oil,Oil,On-grid electricity,2000,1784.0,1931.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Oceania,Australia and New Zealand,Australia,AUS,36,Total Non-Renewable,Fossil fuels,Oil,Oil,On-grid electricity,2001,2044.0,1700.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Oceania,Australia and New Zealand,Australia,AUS,36,Total Non-Renewable,Fossil fuels,Oil,Oil,On-grid electricity,2002,2446.0,1882.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Oceania,Australia and New Zealand,Australia,AUS,36,Total Non-Renewable,Fossil fuels,Oil,Oil,On-grid electricity,2003,1661.0,1620.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Oceania,Australia and New Zealand,Australia,AUS,36,Total Non-Renewable,Fossil fuels,Oil,Oil,On-grid electricity,2004,1389.0,1196.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Oceania,Australia and New Zealand,Australia,AUS,36,Total Non-Renewable,Fossil fuels,Oil,Oil,On-grid electricity,2005,2841.0,1089.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Oceania,Australia and New Zealand,Australia,AUS,36,Total Non-Renewable,Fossil fuels,Oil,Oil,On-grid electricity,2006,3058.0,1111.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Oceania,Australia and New Zealand,Australia,AUS,36,Total Non-Renewable,Fossil fuels,Oil,Oil,On-grid electricity,2007,2893.0,1045.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Oceania,Australia and New Zealand,Australia,AUS,36,Total Non-Renewable,Fossil fuels,Oil,Oil,On-grid electricity,2008,4058.0,1074.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Oceania,Australia and New Zealand,Australia,AUS,36,Total Non-Renewable,Fossil fuels,Oil,Oil,On-grid electricity,2009,3598.0,1336.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Oceania,Australia and New Zealand,Australia,AUS,36,Total Non-Renewable,Fossil fuels,Oil,Oil,On-grid electricity,2010,6098.0,2180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Oceania,Australia and New Zealand,Australia,AUS,36,Total Non-Renewable,Fossil fuels,Oil,Oil,On-grid electricity,2011,5809.0,2121.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Oceania,Australia and New Zealand,Australia,AUS,36,Total Non-Renewable,Fossil fuels,Oil,Oil,On-grid electricity,2012,3790.0,1707.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Oceania,Australia and New Zealand,Australia,AUS,36,Total Non-Renewable,Fossil fuels,Oil,Oil,On-grid electricity,2013,6410.0,2137.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Oceania,Australia and New Zealand,Australia,AUS,36,Total Non-Renewable,Fossil fuels,Oil,Oil,On-grid electricity,2014,5013.0,1987.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Oceania,Australia and New Zealand,Australia,AUS,36,Total Non-Renewable,Fossil fuels,Oil,Oil,On-grid electricity,2015,6799.0,3406.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Oceania,Australia and New Zealand,Australia,AUS,36,Total Non-Renewable,Fossil fuels,Oil,Oil,On-grid electricity,2016,5575.0,3083.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Oceania,Australia and New Zealand,Australia,AUS,36,Total Non-Renewable,Fossil fuels,Oil,Oil,On-grid electricity,2017,5274.0,2493.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Oceania,Australia and New Zealand,Australia,AUS,36,Total Non-Renewable,Fossil fuels,Oil,Oil,On-grid electricity,2018,4838.0,2441.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Oceania,Australia and New Zealand,Australia,AUS,36,Total Non-Renewable,Fossil fuels,Oil,Oil,On-grid electricity,2019,4923.0,2399.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Oceania,Australia and New Zealand,Australia,AUS,36,Total Non-Renewable,Fossil fuels,Oil,Oil,On-grid electricity,2020,4509.0,2307.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Oceania,Australia and New Zealand,Australia,AUS,36,Total Non-Renewable,Fossil fuels,Oil,Oil,On-grid electricity,2021,4662.0,2434.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Oceania,Australia and New Zealand,Australia,AUS,36,Total Non-Renewable,Fossil fuels,Oil,Oil,On-grid electricity,2022,4665.0,2397.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Oceania,Australia and New Zealand,Australia,AUS,36,Total Non-Renewable,Fossil fuels,Oil,Oil,On-grid electricity,2023,0.0,2397.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Oceania,Australia and New Zealand,Australia,AUS,36,Total Non-Renewable,Pumped storage,Pumped storage,Pumped storage,On-grid electricity,2000,360.0,1490.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Oceania,Australia and New Zealand,Australia,AUS,36,Total Non-Renewable,Pumped storage,Pumped storage,Pumped storage,On-grid electricity,2001,370.0,1490.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Oceania,Australia and New Zealand,Australia,AUS,36,Total Non-Renewable,Pumped storage,Pumped storage,Pumped storage,On-grid electricity,2002,177.0,1490.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Oceania,Australia and New Zealand,Australia,AUS,36,Total Non-Renewable,Pumped storage,Pumped storage,Pumped storage,On-grid electricity,2003,216.0,1490.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Oceania,Australia and New Zealand,Australia,AUS,36,Total Non-Renewable,Pumped storage,Pumped storage,Pumped storage,On-grid electricity,2004,221.0,1416.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Oceania,Australia and New Zealand,Australia,AUS,36,Total Non-Renewable,Pumped storage,Pumped storage,Pumped storage,On-grid electricity,2005,303.0,810.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Oceania,Australia and New Zealand,Australia,AUS,36,Total Non-Renewable,Pumped storage,Pumped storage,Pumped storage,On-grid electricity,2006,103.0,810.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Oceania,Australia and New Zealand,Australia,AUS,36,Total Non-Renewable,Pumped storage,Pumped storage,Pumped storage,On-grid electricity,2007,178.0,810.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Oceania,Australia and New Zealand,Australia,AUS,36,Total Non-Renewable,Pumped storage,Pumped storage,Pumped storage,On-grid electricity,2008,148.0,810.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Oceania,Australia and New Zealand,Australia,AUS,36,Total Non-Renewable,Pumped storage,Pumped storage,Pumped storage,On-grid electricity,2009,67.0,810.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Oceania,Australia and New Zealand,Australia,AUS,36,Total Non-Renewable,Pumped storage,Pumped storage,Pumped storage,On-grid electricity,2010,47.0,810.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Oceania,Australia and New Zealand,Australia,AUS,36,Total Non-Renewable,Pumped storage,Pumped storage,Pumped storage,On-grid electricity,2011,113.0,810.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Oceania,Australia and New Zealand,Australia,AUS,36,Total Non-Renewable,Pumped storage,Pumped storage,Pumped storage,On-grid electricity,2012,104.0,810.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Oceania,Australia and New Zealand,Australia,AUS,36,Total Non-Renewable,Pumped storage,Pumped storage,Pumped storage,On-grid electricity,2013,154.0,810.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Oceania,Australia and New Zealand,Australia,AUS,36,Total Non-Renewable,Pumped storage,Pumped storage,Pumped storage,On-grid electricity,2014,83.0,810.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Oceania,Australia and New Zealand,Australia,AUS,36,Total Non-Renewable,Pumped storage,Pumped storage,Pumped storage,On-grid electricity,2015,121.0,810.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Oceania,Australia and New Zealand,Australia,AUS,36,Total Non-Renewable,Pumped storage,Pumped storage,Pumped storage,On-grid electricity,2016,297.0,810.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Oceania,Australia and New Zealand,Australia,AUS,36,Total Non-Renewable,Pumped storage,Pumped storage,Pumped storage,On-grid electricity,2017,248.0,810.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Oceania,Australia and New Zealand,Australia,AUS,36,Total Non-Renewable,Pumped storage,Pumped storage,Pumped storage,On-grid electricity,2018,217.0,810.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Oceania,Australia and New Zealand,Australia,AUS,36,Total Non-Renewable,Pumped storage,Pumped storage,Pumped storage,On-grid electricity,2019,365.0,810.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Oceania,Australia and New Zealand,Australia,AUS,36,Total Non-Renewable,Pumped storage,Pumped storage,Pumped storage,On-grid electricity,2020,386.0,810.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Oceania,Australia and New Zealand,Australia,AUS,36,Total Non-Renewable,Pumped storage,Pumped storage,Pumped storage,On-grid electricity,2021,439.0,810.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Oceania,Australia and New Zealand,Australia,AUS,36,Total Non-Renewable,Pumped storage,Pumped storage,Pumped storage,On-grid electricity,2022,714.0,810.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Oceania,Australia and New Zealand,Australia,AUS,36,Total Non-Renewable,Pumped storage,Pumped storage,Pumped storage,On-grid electricity,2023,0.0,810.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Oceania,Australia and New Zealand,Australia,AUS,36,Total Renewable,Bioenergy,Biogas,Landfill gas,On-grid electricity,2000,449.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Oceania,Australia and New Zealand,Australia,AUS,36,Total Renewable,Bioenergy,Biogas,Landfill gas,On-grid electricity,2001,712.0,92.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Oceania,Australia and New Zealand,Australia,AUS,36,Total Renewable,Bioenergy,Biogas,Landfill gas,On-grid electricity,2002,854.0,99.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Oceania,Australia and New Zealand,Australia,AUS,36,Total Renewable,Bioenergy,Biogas,Landfill gas,On-grid electricity,2003,757.0,143.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Oceania,Australia and New Zealand,Australia,AUS,36,Total Renewable,Bioenergy,Biogas,Landfill gas,On-grid electricity,2004,741.0,207.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Oceania,Australia and New Zealand,Australia,AUS,36,Total Renewable,Bioenergy,Biogas,Landfill gas,On-grid electricity,2005,593.0,265.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Oceania,Australia and New Zealand,Australia,AUS,36,Total Renewable,Bioenergy,Biogas,Landfill gas,On-grid electricity,2006,643.0,270.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
